row_id,iteration,status,source,precursor_ratio,annealing_temperature,activity,predicted_mean,predicted_std,acquisition
manual_000,0,observed,manual,0.20000000000000001,500,1.34,,,
manual_001,0,observed,manual,0.69999999999999984,650,1.82,,,
cc4731bdca884387a4f6eec61ecdf1c9,1,observed,sobol,0.4720469713211059,795.29650807380676,1.8111778742027096,,,
6f8c01d91001401d8a496cffbf5a6b3d,2,observed,sobol,0.91028648614883423,478.74492704868322,0.0025612834914119,,,
e87bbce67244438b91c2bee1e9c56212,3,observed,sobol,0.51763105392456055,569.10912990570068,1.4173397552958444,,,
022340bb96a444f79be2bedf35ec005f,4,observed,sobol,0.083311237394809501,393.47052127122879,-2.3700258156251692,,,
d98110ec839943e5b1333f2d19856ca9,5,observed,sobol,0.2030964493751525,674.48218464851379,1.5255866339657844,,,
a2a13814009543e8b3823201a1dd6ab7,6,observed,sobol,0.63352560997009255,350.16960576176643,-2.2489590768214742,,,
ea21467305254d99b00710e133badae9,7,observed,log_ei,1,723.6276659102632,1.619133028587096,1.9682399455886144,0.9239038565971786,-0.8042160487324732
8074a14c0ce74a19aaa022a85147079b,8,observed,log_ei,0,800,0.37021203527365537,1.753558627755416,0.43470510270173296,-1.950357161425289
